window_uid,split,participant_id,session_id,session_name,window_index,window_start_ms,window_end_ms,window_length_s,stride_s,ppg_sampling_hz,ppg_sample_count,reference_sample_count,label_hr_bpm,label_aggregation,reference_source
P02:adaptation#1:w52,train,P02,P02:adaptation#1,adaptation,52,1710812145683,1710812155683,10,2,25,250,9,74.0,median,hr
P02:adaptation#1:w53,train,P02,P02:adaptation#1,adaptation,53,1710812147683,1710812157683,10,2,25,250,10,74.0,median,hr
P02:adaptation#1:w54,train,P02,P02:adaptation#1,adaptation,54,1710812149683,1710812159683,10,2,25,249,10,74.0,median,hr
P02:adaptation#1:w55,train,P02,P02:adaptation#1,adaptation,55,1710812151683,1710812161683,10,2,25,249,10,74.0,median,hr
P02:adaptation#1:w56,train,P02,P02:adaptation#1,adaptation,56,1710812153683,1710812163683,10,2,25,249,10,73.5,median,hr
P02:adaptation#1:w57,train,P02,P02:adaptation#1,adaptation,57,1710812155683,1710812165683,10,2,25,249,11,74.0,median,hr
P02:adaptation#1:w58,train,P02,P02:adaptation#1,adaptation,58,1710812157683,1710812167683,10,2,25,249,10,74.0,median,hr
P02:adaptation#1:w59,train,P02,P02:adaptation#1,adaptation,59,1710812159683,1710812169683,10,2,25,250,10,74.5,median,hr
P02:adaptation#1:w60,train,P02,P02:adaptation#1,adaptation,60,1710812161683,1710812171683,10,2,25,250,10,75.0,median,hr
P02:adaptation#1:w61,train,P02,P02:adaptation#1,adaptation,61,1710812163683,1710812173683,10,2,25,249,10,75.0,median,hr
P02:adaptation#1:w62,train,P02,P02:adaptation#1,adaptation,62,1710812165683,1710812175683,10,2,25,249,10,75.5,median,hr
P02:adaptation#1:w63,train,P02,P02:adaptation#1,adaptation,63,1710812167683,1710812177683,10,2,25,249,10,76.5,median,hr
P02:adaptation#1:w64,train,P02,P02:adaptation#1,adaptation,64,1710812169683,1710812179683,10,2,25,249,10,77.0,median,hr
P02:adaptation#1:w65,train,P02,P02:adaptation#1,adaptation,65,1710812171683,1710812181683,10,2,25,249,10,77.0,median,hr
P02:adaptation#1:w66,train,P02,P02:adaptation#1,adaptation,66,1710812173683,1710812183683,10,2,25,250,10,77.0,median,hr
P02:adaptation#1:w67,train,P02,P02:adaptation#1,adaptation,67,1710812175683,1710812185683,10,2,25,250,10,78.0,median,hr
P02:adaptation#1:w68,train,P02,P02:adaptation#1,adaptation,68,1710812177683,1710812187683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w69,train,P02,P02:adaptation#1,adaptation,69,1710812179683,1710812189683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w70,train,P02,P02:adaptation#1,adaptation,70,1710812181683,1710812191683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w71,train,P02,P02:adaptation#1,adaptation,71,1710812183683,1710812193683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w72,train,P02,P02:adaptation#1,adaptation,72,1710812185683,1710812195683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w73,train,P02,P02:adaptation#1,adaptation,73,1710812187683,1710812197683,10,2,25,250,10,78.0,median,hr
P02:adaptation#1:w74,train,P02,P02:adaptation#1,adaptation,74,1710812189683,1710812199683,10,2,25,250,10,78.0,median,hr
P02:adaptation#1:w75,train,P02,P02:adaptation#1,adaptation,75,1710812191683,1710812201683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w76,train,P02,P02:adaptation#1,adaptation,76,1710812193683,1710812203683,10,2,25,249,10,77.0,median,hr
P02:adaptation#1:w77,train,P02,P02:adaptation#1,adaptation,77,1710812195683,1710812205683,10,2,25,249,10,77.0,median,hr
P02:adaptation#1:w78,train,P02,P02:adaptation#1,adaptation,78,1710812197683,1710812207683,10,2,25,249,10,77.0,median,hr
P02:adaptation#1:w79,train,P02,P02:adaptation#1,adaptation,79,1710812199683,1710812209683,10,2,25,249,10,77.5,median,hr
P02:adaptation#1:w80,train,P02,P02:adaptation#1,adaptation,80,1710812201683,1710812211683,10,2,25,250,10,77.5,median,hr
P02:adaptation#1:w81,train,P02,P02:adaptation#1,adaptation,81,1710812203683,1710812213683,10,2,25,250,10,77.5,median,hr
P02:adaptation#1:w82,train,P02,P02:adaptation#1,adaptation,82,1710812205683,1710812215683,10,2,25,250,10,78.0,median,hr
P02:adaptation#1:w83,train,P02,P02:adaptation#1,adaptation,83,1710812207683,1710812217683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w84,train,P02,P02:adaptation#1,adaptation,84,1710812209683,1710812219683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w85,train,P02,P02:adaptation#1,adaptation,85,1710812211683,1710812221683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w86,train,P02,P02:adaptation#1,adaptation,86,1710812213683,1710812223683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w87,train,P02,P02:adaptation#1,adaptation,87,1710812215683,1710812225683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w88,train,P02,P02:adaptation#1,adaptation,88,1710812217683,1710812227683,10,2,25,250,10,78.0,median,hr
P02:adaptation#1:w89,train,P02,P02:adaptation#1,adaptation,89,1710812219683,1710812229683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w90,train,P02,P02:adaptation#1,adaptation,90,1710812221683,1710812231683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w91,train,P02,P02:adaptation#1,adaptation,91,1710812223683,1710812233683,10,2,25,249,10,78.5,median,hr
P02:adaptation#1:w92,train,P02,P02:adaptation#1,adaptation,92,1710812225683,1710812235683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w93,train,P02,P02:adaptation#1,adaptation,93,1710812227683,1710812237683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w94,train,P02,P02:adaptation#1,adaptation,94,1710812229683,1710812239683,10,2,25,250,10,80.0,median,hr
P02:adaptation#1:w95,train,P02,P02:adaptation#1,adaptation,95,1710812231683,1710812241683,10,2,25,249,10,80.0,median,hr
P02:adaptation#1:w96,train,P02,P02:adaptation#1,adaptation,96,1710812233683,1710812243683,10,2,25,249,10,80.0,median,hr
P02:adaptation#1:w97,train,P02,P02:adaptation#1,adaptation,97,1710812235683,1710812245683,10,2,25,249,10,80.5,median,hr
P02:adaptation#1:w98,train,P02,P02:adaptation#1,adaptation,98,1710812237683,1710812247683,10,2,25,249,10,81.0,median,hr
P02:adaptation#1:w99,train,P02,P02:adaptation#1,adaptation,99,1710812239683,1710812249683,10,2,25,249,10,81.0,median,hr
P02:adaptation#1:w100,train,P02,P02:adaptation#1,adaptation,100,1710812241683,1710812251683,10,2,25,250,10,82.0,median,hr
P02:adaptation#1:w101,train,P02,P02:adaptation#1,adaptation,101,1710812243683,1710812253683,10,2,25,250,10,82.5,median,hr
P02:adaptation#1:w102,train,P02,P02:adaptation#1,adaptation,102,1710812245683,1710812255683,10,2,25,249,10,83.0,median,hr
P02:adaptation#1:w103,train,P02,P02:adaptation#1,adaptation,103,1710812247683,1710812257683,10,2,25,249,10,83.0,median,hr
P02:adaptation#1:w104,train,P02,P02:adaptation#1,adaptation,104,1710812249683,1710812259683,10,2,25,249,10,83.0,median,hr
P02:adaptation#1:w105,train,P02,P02:adaptation#1,adaptation,105,1710812251683,1710812261683,10,2,25,249,10,83.0,median,hr
P02:adaptation#1:w106,train,P02,P02:adaptation#1,adaptation,106,1710812253683,1710812263683,10,2,25,249,10,84.0,median,hr
P02:adaptation#1:w107,train,P02,P02:adaptation#1,adaptation,107,1710812255683,1710812265683,10,2,25,250,10,84.0,median,hr
P02:adaptation#1:w108,train,P02,P02:adaptation#1,adaptation,108,1710812257683,1710812267683,10,2,25,250,10,84.0,median,hr
P02:adaptation#1:w109,train,P02,P02:adaptation#1,adaptation,109,1710812259683,1710812269683,10,2,25,249,10,84.0,median,hr
P02:adaptation#1:w110,train,P02,P02:adaptation#1,adaptation,110,1710812261683,1710812271683,10,2,25,249,10,84.0,median,hr
P02:adaptation#1:w111,train,P02,P02:adaptation#1,adaptation,111,1710812263683,1710812273683,10,2,25,249,10,84.0,median,hr
P02:adaptation#1:w112,train,P02,P02:adaptation#1,adaptation,112,1710812265683,1710812275683,10,2,25,249,10,82.5,median,hr
P02:adaptation#1:w113,train,P02,P02:adaptation#1,adaptation,113,1710812267683,1710812277683,10,2,25,249,10,81.5,median,hr
P02:adaptation#1:w114,train,P02,P02:adaptation#1,adaptation,114,1710812269683,1710812279683,10,2,25,250,10,81.0,median,hr
P02:adaptation#1:w115,train,P02,P02:adaptation#1,adaptation,115,1710812271683,1710812281683,10,2,25,250,10,80.5,median,hr
P02:adaptation#1:w116,train,P02,P02:adaptation#1,adaptation,116,1710812273683,1710812283683,10,2,25,250,10,78.5,median,hr
P02:adaptation#1:w117,train,P02,P02:adaptation#1,adaptation,117,1710812275683,1710812285683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w118,train,P02,P02:adaptation#1,adaptation,118,1710812277683,1710812287683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w119,train,P02,P02:adaptation#1,adaptation,119,1710812279683,1710812289683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w120,train,P02,P02:adaptation#1,adaptation,120,1710812281683,1710812291683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w121,train,P02,P02:adaptation#1,adaptation,121,1710812283683,1710812293683,10,2,25,249,10,78.0,median,hr
P02:adaptation#1:w122,train,P02,P02:adaptation#1,adaptation,122,1710812285683,1710812295683,10,2,25,250,10,78.5,median,hr
P02:adaptation#1:w123,train,P02,P02:adaptation#1,adaptation,123,1710812287683,1710812297683,10,2,25,250,10,79.0,median,hr
P02:adaptation#1:w124,train,P02,P02:adaptation#1,adaptation,124,1710812289683,1710812299683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w125,train,P02,P02:adaptation#1,adaptation,125,1710812291683,1710812301683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w126,train,P02,P02:adaptation#1,adaptation,126,1710812293683,1710812303683,10,2,25,249,10,79.5,median,hr
P02:adaptation#1:w127,train,P02,P02:adaptation#1,adaptation,127,1710812295683,1710812305683,10,2,25,249,10,80.0,median,hr
P02:adaptation#1:w128,train,P02,P02:adaptation#1,adaptation,128,1710812297683,1710812307683,10,2,25,249,10,80.0,median,hr
P02:adaptation#1:w129,train,P02,P02:adaptation#1,adaptation,129,1710812299683,1710812309683,10,2,25,250,10,80.0,median,hr
P02:adaptation#1:w130,train,P02,P02:adaptation#1,adaptation,130,1710812301683,1710812311683,10,2,25,250,10,80.0,median,hr
P02:adaptation#1:w131,train,P02,P02:adaptation#1,adaptation,131,1710812303683,1710812313683,10,2,25,249,10,80.0,median,hr
P02:adaptation#1:w132,train,P02,P02:adaptation#1,adaptation,132,1710812305683,1710812315683,10,2,25,249,10,80.0,median,hr
P02:adaptation#1:w133,train,P02,P02:adaptation#1,adaptation,133,1710812307683,1710812317683,10,2,25,249,10,80.0,median,hr
P02:adaptation#1:w134,train,P02,P02:adaptation#1,adaptation,134,1710812309683,1710812319683,10,2,25,249,10,79.5,median,hr
P02:adaptation#1:w135,train,P02,P02:adaptation#1,adaptation,135,1710812311683,1710812321683,10,2,25,249,10,80.0,median,hr
P02:adaptation#1:w136,train,P02,P02:adaptation#1,adaptation,136,1710812313683,1710812323683,10,2,25,250,10,80.0,median,hr
P02:adaptation#1:w137,train,P02,P02:adaptation#1,adaptation,137,1710812315683,1710812325683,10,2,25,250,10,79.0,median,hr
P02:adaptation#1:w138,train,P02,P02:adaptation#1,adaptation,138,1710812317683,1710812327683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w139,train,P02,P02:adaptation#1,adaptation,139,1710812319683,1710812329683,10,2,25,249,10,79.5,median,hr
P02:adaptation#1:w140,train,P02,P02:adaptation#1,adaptation,140,1710812321683,1710812331683,10,2,25,249,10,80.0,median,hr
P02:adaptation#1:w141,train,P02,P02:adaptation#1,adaptation,141,1710812323683,1710812333683,10,2,25,249,10,79.0,median,hr
P02:adaptation#1:w142,train,P02,P02:adaptation#1,adaptation,142,1710812325683,1710812335683,10,2,25,249,10,79.5,median,hr
P02:adaptation#1:w143,train,P02,P02:adaptation#1,adaptation,143,1710812327683,1710812337683,10,2,25,250,10,80.0,median,hr
P02:adaptation#1:w144,train,P02,P02:adaptation#1,adaptation,144,1710812329683,1710812339683,10,2,25,250,10,80.0,median,hr
P02:adaptation#1:w145,train,P02,P02:adaptation#1,adaptation,145,1710812331683,1710812341683,10,2,25,250,10,79.5,median,hr
P02:baseline#1:w0,train,P02,P02:baseline#1,baseline,0,1710812342009,1710812352009,10,2,25,249,10,80.0,median,hr
P02:baseline#1:w1,train,P02,P02:baseline#1,baseline,1,1710812344009,1710812354009,10,2,25,250,10,79.5,median,hr
P02:baseline#1:w2,train,P02,P02:baseline#1,baseline,2,1710812346009,1710812356009,10,2,25,250,10,79.0,median,hr
P02:baseline#1:w3,train,P02,P02:baseline#1,baseline,3,1710812348009,1710812358009,10,2,25,250,10,79.0,median,hr
P02:baseline#1:w4,train,P02,P02:baseline#1,baseline,4,1710812350009,1710812360009,10,2,25,249,10,78.5,median,hr
P02:baseline#1:w5,train,P02,P02:baseline#1,baseline,5,1710812352009,1710812362009,10,2,25,249,10,77.0,median,hr
P02:baseline#1:w6,train,P02,P02:baseline#1,baseline,6,1710812354009,1710812364009,10,2,25,249,10,77.0,median,hr
P02:baseline#1:w7,train,P02,P02:baseline#1,baseline,7,1710812356009,1710812366009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w8,train,P02,P02:baseline#1,baseline,8,1710812358009,1710812368009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w9,train,P02,P02:baseline#1,baseline,9,1710812360009,1710812370009,10,2,25,250,10,76.0,median,hr
P02:baseline#1:w10,train,P02,P02:baseline#1,baseline,10,1710812362009,1710812372009,10,2,25,250,10,76.0,median,hr
P02:baseline#1:w11,train,P02,P02:baseline#1,baseline,11,1710812364009,1710812374009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w12,train,P02,P02:baseline#1,baseline,12,1710812366009,1710812376009,10,2,25,249,10,75.0,median,hr
P02:baseline#1:w13,train,P02,P02:baseline#1,baseline,13,1710812368009,1710812378009,10,2,25,249,10,75.0,median,hr
P02:baseline#1:w14,train,P02,P02:baseline#1,baseline,14,1710812370009,1710812380009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w15,train,P02,P02:baseline#1,baseline,15,1710812372009,1710812382009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w16,train,P02,P02:baseline#1,baseline,16,1710812374009,1710812384009,10,2,25,250,10,76.0,median,hr
P02:baseline#1:w17,train,P02,P02:baseline#1,baseline,17,1710812376009,1710812386009,10,2,25,250,10,76.0,median,hr
P02:baseline#1:w18,train,P02,P02:baseline#1,baseline,18,1710812378009,1710812388009,10,2,25,249,10,77.0,median,hr
P02:baseline#1:w19,train,P02,P02:baseline#1,baseline,19,1710812380009,1710812390009,10,2,25,249,10,77.5,median,hr
P02:baseline#1:w20,train,P02,P02:baseline#1,baseline,20,1710812382009,1710812392009,10,2,25,249,10,78.0,median,hr
P02:baseline#1:w21,train,P02,P02:baseline#1,baseline,21,1710812384009,1710812394009,10,2,25,249,10,78.0,median,hr
P02:baseline#1:w22,train,P02,P02:baseline#1,baseline,22,1710812386009,1710812396009,10,2,25,249,10,78.5,median,hr
P02:baseline#1:w23,train,P02,P02:baseline#1,baseline,23,1710812388009,1710812398009,10,2,25,250,10,79.0,median,hr
P02:baseline#1:w24,train,P02,P02:baseline#1,baseline,24,1710812390009,1710812400009,10,2,25,250,10,79.0,median,hr
P02:baseline#1:w25,train,P02,P02:baseline#1,baseline,25,1710812392009,1710812402009,10,2,25,249,10,79.0,median,hr
P02:baseline#1:w26,train,P02,P02:baseline#1,baseline,26,1710812394009,1710812404009,10,2,25,250,10,79.0,median,hr
P02:baseline#1:w27,train,P02,P02:baseline#1,baseline,27,1710812396009,1710812406009,10,2,25,250,10,80.0,median,hr
P02:baseline#1:w28,train,P02,P02:baseline#1,baseline,28,1710812398009,1710812408009,10,2,25,250,10,80.0,median,hr
P02:baseline#1:w29,train,P02,P02:baseline#1,baseline,29,1710812400009,1710812410009,10,2,25,249,10,80.0,median,hr
P02:baseline#1:w30,train,P02,P02:baseline#1,baseline,30,1710812402009,1710812412009,10,2,25,250,10,81.0,median,hr
P02:baseline#1:w31,train,P02,P02:baseline#1,baseline,31,1710812404009,1710812414009,10,2,25,249,10,81.0,median,hr
P02:baseline#1:w32,train,P02,P02:baseline#1,baseline,32,1710812406009,1710812416009,10,2,25,249,10,81.0,median,hr
P02:baseline#1:w33,train,P02,P02:baseline#1,baseline,33,1710812408009,1710812418009,10,2,25,249,10,81.0,median,hr
P02:baseline#1:w34,train,P02,P02:baseline#1,baseline,34,1710812410009,1710812420009,10,2,25,250,10,81.0,median,hr
P02:baseline#1:w35,train,P02,P02:baseline#1,baseline,35,1710812412009,1710812422009,10,2,25,250,10,80.0,median,hr
P02:baseline#1:w36,train,P02,P02:baseline#1,baseline,36,1710812414009,1710812424009,10,2,25,249,10,80.0,median,hr
P02:baseline#1:w37,train,P02,P02:baseline#1,baseline,37,1710812416009,1710812426009,10,2,25,249,10,79.5,median,hr
P02:baseline#1:w38,train,P02,P02:baseline#1,baseline,38,1710812418009,1710812428009,10,2,25,249,10,79.0,median,hr
P02:baseline#1:w39,train,P02,P02:baseline#1,baseline,39,1710812420009,1710812430009,10,2,25,249,10,79.0,median,hr
P02:baseline#1:w40,train,P02,P02:baseline#1,baseline,40,1710812422009,1710812432009,10,2,25,249,10,79.0,median,hr
P02:baseline#1:w41,train,P02,P02:baseline#1,baseline,41,1710812424009,1710812434009,10,2,25,250,10,79.0,median,hr
P02:baseline#1:w42,train,P02,P02:baseline#1,baseline,42,1710812426009,1710812436009,10,2,25,249,10,78.5,median,hr
P02:baseline#1:w43,train,P02,P02:baseline#1,baseline,43,1710812428009,1710812438009,10,2,25,249,10,78.0,median,hr
P02:baseline#1:w44,train,P02,P02:baseline#1,baseline,44,1710812430009,1710812440009,10,2,25,249,10,78.0,median,hr
P02:baseline#1:w45,train,P02,P02:baseline#1,baseline,45,1710812432009,1710812442009,10,2,25,249,10,78.0,median,hr
P02:baseline#1:w46,train,P02,P02:baseline#1,baseline,46,1710812434009,1710812444009,10,2,25,249,10,77.5,median,hr
P02:baseline#1:w47,train,P02,P02:baseline#1,baseline,47,1710812436009,1710812446009,10,2,25,250,10,77.0,median,hr
P02:baseline#1:w48,train,P02,P02:baseline#1,baseline,48,1710812438009,1710812448009,10,2,25,250,10,76.5,median,hr
P02:baseline#1:w49,train,P02,P02:baseline#1,baseline,49,1710812440009,1710812450009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w50,train,P02,P02:baseline#1,baseline,50,1710812442009,1710812452009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w51,train,P02,P02:baseline#1,baseline,51,1710812444009,1710812454009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w52,train,P02,P02:baseline#1,baseline,52,1710812446009,1710812456009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w53,train,P02,P02:baseline#1,baseline,53,1710812448009,1710812458009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w54,train,P02,P02:baseline#1,baseline,54,1710812450009,1710812460009,10,2,25,250,10,75.0,median,hr
P02:baseline#1:w55,train,P02,P02:baseline#1,baseline,55,1710812452009,1710812462009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w56,train,P02,P02:baseline#1,baseline,56,1710812454009,1710812464009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w57,train,P02,P02:baseline#1,baseline,57,1710812456009,1710812466009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w58,train,P02,P02:baseline#1,baseline,58,1710812458009,1710812468009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w59,train,P02,P02:baseline#1,baseline,59,1710812460009,1710812470009,10,2,25,249,10,76.0,median,hr
P02:baseline#1:w60,train,P02,P02:baseline#1,baseline,60,1710812462009,1710812472009,10,2,25,250,10,77.0,median,hr
P02:baseline#1:w61,train,P02,P02:baseline#1,baseline,61,1710812464009,1710812474009,10,2,25,250,10,77.0,median,hr
P02:baseline#1:w62,train,P02,P02:baseline#1,baseline,62,1710812466009,1710812476009,10,2,25,249,10,78.0,median,hr
P02:baseline#1:w63,train,P02,P02:baseline#1,baseline,63,1710812468009,1710812478009,10,2,25,249,10,78.0,median,hr
P02:baseline#1:w64,train,P02,P02:baseline#1,baseline,64,1710812470009,1710812480009,10,2,25,249,10,79.0,median,hr
P02:baseline#1:w65,train,P02,P02:baseline#1,baseline,65,1710812472009,1710812482009,10,2,25,249,10,79.0,median,hr
