feature_set,fold,window_key,participant_id,heldout_participant,split_role
motion_only,1,P04|P04:adaptation#1|1710832320221|1710832330221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832322221|1710832332221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832324221|1710832334221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832326221|1710832336221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832328221|1710832338221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832330221|1710832340221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832332221|1710832342221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832334221|1710832344221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832336221|1710832346221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832338221|1710832348221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832340221|1710832350221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832342221|1710832352221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832344221|1710832354221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832346221|1710832356221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832348221|1710832358221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832350221|1710832360221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832352221|1710832362221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832354221|1710832364221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832356221|1710832366221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832358221|1710832368221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832360221|1710832370221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832362221|1710832372221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832364221|1710832374221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832366221|1710832376221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832368221|1710832378221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832370221|1710832380221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832372221|1710832382221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832374221|1710832384221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832376221|1710832386221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832378221|1710832388221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832380221|1710832390221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832382221|1710832392221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832384221|1710832394221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832386221|1710832396221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832388221|1710832398221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832390221|1710832400221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832392221|1710832402221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832394221|1710832404221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832396221|1710832406221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832398221|1710832408221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832400221|1710832410221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832402221|1710832412221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832404221|1710832414221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832406221|1710832416221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832408221|1710832418221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832410221|1710832420221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832412221|1710832422221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832414221|1710832424221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832416221|1710832426221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832418221|1710832428221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832420221|1710832430221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832422221|1710832432221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832424221|1710832434221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832426221|1710832436221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832428221|1710832438221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832430221|1710832440221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832432221|1710832442221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832434221|1710832444221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832436221|1710832446221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832438221|1710832448221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832440221|1710832450221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832442221|1710832452221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832444221|1710832454221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832446221|1710832456221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832448221|1710832458221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832450221|1710832460221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832452221|1710832462221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832454221|1710832464221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832456221|1710832466221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832458221|1710832468221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832460221|1710832470221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832462221|1710832472221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832464221|1710832474221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832466221|1710832476221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832468221|1710832478221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832470221|1710832480221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832472221|1710832482221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832474221|1710832484221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832476221|1710832486221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832478221|1710832488221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832480221|1710832490221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832482221|1710832492221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832484221|1710832494221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832486221|1710832496221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832488221|1710832498221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832490221|1710832500221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832492221|1710832502221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832494221|1710832504221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832496221|1710832506221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832498221|1710832508221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832500221|1710832510221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832502221|1710832512221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832504221|1710832514221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832506221|1710832516221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832508221|1710832518221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832510221|1710832520221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832512221|1710832522221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832514221|1710832524221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832516221|1710832526221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832518221|1710832528221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832520221|1710832530221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832522221|1710832532221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832524221|1710832534221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832526221|1710832536221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832528221|1710832538221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832530221|1710832540221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832532221|1710832542221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832534221|1710832544221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832536221|1710832546221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832538221|1710832548221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832540221|1710832550221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832542221|1710832552221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832544221|1710832554221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832546221|1710832556221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832548221|1710832558221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832550221|1710832560221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832552221|1710832562221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832554221|1710832564221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832556221|1710832566221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832558221|1710832568221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832560221|1710832570221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832562221|1710832572221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832564221|1710832574221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832566221|1710832576221,P04,P04,test
motion_only,1,P04|P04:adaptation#1|1710832568221|1710832578221,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832579345|1710832589345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832581345|1710832591345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832583345|1710832593345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832585345|1710832595345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832587345|1710832597345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832589345|1710832599345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832591345|1710832601345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832593345|1710832603345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832595345|1710832605345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832597345|1710832607345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832599345|1710832609345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832601345|1710832611345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832603345|1710832613345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832605345|1710832615345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832607345|1710832617345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832609345|1710832619345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832611345|1710832621345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832613345|1710832623345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832615345|1710832625345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832617345|1710832627345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832619345|1710832629345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832621345|1710832631345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832623345|1710832633345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832625345|1710832635345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832627345|1710832637345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832629345|1710832639345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832631345|1710832641345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832633345|1710832643345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832635345|1710832645345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832637345|1710832647345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832639345|1710832649345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832641345|1710832651345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832643345|1710832653345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832645345|1710832655345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832647345|1710832657345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832649345|1710832659345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832651345|1710832661345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832653345|1710832663345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832655345|1710832665345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832657345|1710832667345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832659345|1710832669345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832661345|1710832671345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832663345|1710832673345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832665345|1710832675345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832667345|1710832677345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832669345|1710832679345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832671345|1710832681345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832673345|1710832683345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832675345|1710832685345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832677345|1710832687345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832679345|1710832689345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832681345|1710832691345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832683345|1710832693345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832685345|1710832695345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832687345|1710832697345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832689345|1710832699345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832691345|1710832701345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832693345|1710832703345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832695345|1710832705345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832697345|1710832707345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832699345|1710832709345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832701345|1710832711345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832703345|1710832713345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832705345|1710832715345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832707345|1710832717345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832709345|1710832719345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832711345|1710832721345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832713345|1710832723345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832715345|1710832725345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832717345|1710832727345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832719345|1710832729345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832721345|1710832731345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832723345|1710832733345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832725345|1710832735345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832727345|1710832737345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832729345|1710832739345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832731345|1710832741345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832733345|1710832743345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832735345|1710832745345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832737345|1710832747345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832739345|1710832749345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832741345|1710832751345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832743345|1710832753345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832745345|1710832755345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832747345|1710832757345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832749345|1710832759345,P04,P04,test
motion_only,1,P04|P04:baseline#1|1710832751345|1710832761345,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832792937|1710832802937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832794937|1710832804937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832796937|1710832806937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832798937|1710832808937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832800937|1710832810937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832802937|1710832812937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832804937|1710832814937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832806937|1710832816937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832808937|1710832818937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832810937|1710832820937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832812937|1710832822937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832814937|1710832824937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832816937|1710832826937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832818937|1710832828937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832820937|1710832830937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832822937|1710832832937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832824937|1710832834937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832826937|1710832836937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832828937|1710832838937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832830937|1710832840937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832832937|1710832842937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832834937|1710832844937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832836937|1710832846937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832838937|1710832848937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832840937|1710832850937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832842937|1710832852937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832844937|1710832854937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832846937|1710832856937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832848937|1710832858937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832850937|1710832860937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832852937|1710832862937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832854937|1710832864937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832856937|1710832866937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832858937|1710832868937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832860937|1710832870937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832862937|1710832872937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832864937|1710832874937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832866937|1710832876937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832868937|1710832878937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832870937|1710832880937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832872937|1710832882937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832874937|1710832884937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832876937|1710832886937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832878937|1710832888937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832880937|1710832890937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832882937|1710832892937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832884937|1710832894937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832886937|1710832896937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832888937|1710832898937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832890937|1710832900937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832892937|1710832902937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832894937|1710832904937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832896937|1710832906937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832898937|1710832908937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832900937|1710832910937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832902937|1710832912937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832904937|1710832914937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832906937|1710832916937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832908937|1710832918937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832910937|1710832920937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832912937|1710832922937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832914937|1710832924937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832916937|1710832926937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832918937|1710832928937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832920937|1710832930937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832922937|1710832932937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832924937|1710832934937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832926937|1710832936937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832928937|1710832938937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832930937|1710832940937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832932937|1710832942937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832934937|1710832944937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832936937|1710832946937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832938937|1710832948937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832940937|1710832950937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832942937|1710832952937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832944937|1710832954937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832946937|1710832956937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832948937|1710832958937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832950937|1710832960937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832952937|1710832962937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832954937|1710832964937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832956937|1710832966937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832958937|1710832968937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832960937|1710832970937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832962937|1710832972937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832964937|1710832974937,P04,P04,test
motion_only,1,P04|P04:tsst-prep#1|1710832966937|1710832976937,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832978142|1710832988142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832980142|1710832990142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832982142|1710832992142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832984142|1710832994142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832986142|1710832996142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832988142|1710832998142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832990142|1710833000142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832992142|1710833002142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832994142|1710833004142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832996142|1710833006142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710832998142|1710833008142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710833000142|1710833010142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710833002142|1710833012142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710833004142|1710833014142,P04,P04,test
motion_only,1,P04|P04:tsst-speech#1|1710833006142|1710833016142,P04,P04,test
